Brawler,Adjusted Win Rate,Use Rate,Mode,Wins Recorded,Star Player Rate,metric.pickRate,metric.trophyChange,Win Rate,Map
PENNY,0.5627655769801965,0.0215260338700153,bounty,21627.0,0.1021037082314588,0.0213278753440439,4.488372093023256,0.550809902200489,DrySeason
BUZZ,0.5625918916233613,0.0038968479176779,bounty,3816.000000000001,0.0984919257974109,0.0040701347278148,2.9274151436031333,0.5092753236353931,DrySeason
BYRON,0.5624635409365307,0.0232154799021844,bounty,23333.0,0.1243691930387209,0.0230345833801836,3.643071643071643,0.5502287412158656,DrySeason
MAX,0.5619711185132062,0.0078316554901971,bounty,7655.000000000001,0.0609487038058466,0.0078784510999901,3.2940067057837386,0.5277854384997243,DrySeason
KIT,0.5617253083948704,0.0069754872873553,bounty,6720.0,0.0910084295972525,0.0069593708972058,3.0604026845637584,0.5245082734935997,DrySeason
COLETTE,0.5614253734475464,0.0031008216607716,bounty,2985.0,0.0739812959251837,0.0032526313559529,3.690058479532164,0.498496993987976,DrySeason
LEON,0.5581235917153293,0.0384482767710337,bounty,40013.0,0.1000303456647079,0.0393803052845482,3.650230777890352,0.5519186736185826,DrySeason
PIPER,0.5557444038295968,0.0721956201021174,bounty,73067.0,0.1689321415348812,0.0718908662874102,2.9804439746300213,0.5520782174402526,DrySeason
NANI,0.5539967892488712,0.0167614116349155,bounty,16296.999999999998,0.1276399763142312,0.016511938536783,3.7591230747884,0.5361207974208829,DrySeason
FANG,0.5537265156433879,0.0068840159128778,bounty,6782.000000000001,0.1222777991535205,0.0070587749616914,2.9825596994902064,0.5218930357829935,DrySeason
BELLE,0.5528116917539728,0.0257721788456295,bounty,25211.0,0.1032663695282389,0.0252274479065666,4.12368037859483,0.5428374566673126,DrySeason
CROW,0.5506010805838368,0.0088821730060738,bounty,9072.0,0.091754458242599,0.0092293686320968,3.2781174726700018,0.5339297275027955,DrySeason
EDGAR,0.548950826480595,0.0158812716235899,bounty,16906.0,0.1835674917964892,0.0170502414215107,2.437676254935138,0.5385963235528369,DrySeason
BEA,0.54792135086237,0.0232595419400661,bounty,22881.0,0.1463192121453133,0.0232208981021428,3.5091249065071053,0.5352405904231677,DrySeason
DYNAMIKE,0.5477162115615964,0.0122919439010501,bounty,12741.0,0.1502009377093101,0.0129757611608221,2.7912113735166257,0.5333640321500335,DrySeason
SURGE,0.5442565299034603,0.0059813653176994,bounty,5977.999999999999,0.1284324696565378,0.0063102569241992,3.14338606529788,0.5145906860635275,DrySeason
STU,0.5417881151641316,0.0152086834438814,bounty,14963.999999999998,0.0949824561403508,0.0154809608625013,2.9972186167253847,0.5250526315789473,DrySeason
GENE,0.5356441875919542,0.0465873430254496,bounty,44673.00000000001,0.0517664347764254,0.045833964793579,4.398651619522204,0.5294326787470817,DrySeason
RICO,0.5259900915244786,0.0123099291945259,bounty,12076.0,0.1250052807232478,0.0128578885816235,2.724438701340656,0.510160111528875,DrySeason
COLT,0.5179878910419355,0.0248065217892699,bounty,24134.0,0.1356043028896857,0.0257527141926733,2.379821541488091,0.5090487238979118,DrySeason
